"WORD","POS"
"ائتلافي","Adjective"
"ابا","Noun"
"ابابيله","Noun"
"اباتوالی","Noun"
"اباتوب","Noun"
"اباتول","Verb"
"اباتونه","Noun"
"اباتي","Noun"
"اباتېدل","Verb"
"اباتېدنه","Noun"
"اباتېدونکی","Participles"
"اباخېل","Noun"
"ابادول","Verb"
"ابادونه","Noun"
"ابادي","Noun"
"ابادېدل","Verb"
"ابادېدنه","Noun"
"اباسين","Noun"
"ابايي","Adjective"
"اباګنۍ","Noun"
"ابتدا","Noun"
"ابترول","Verb"
"ابترېدل","Verb"
"ابتکار","Noun"
"ابتکاري","Adjective"
"ابته","Adjective"
"ابجد","Noun"
"ابجوشه","Noun"
"ابحاث","Noun"
"ابحار","Noun"
"ابد","Noun"
"ابداع","Noun"
"ابدال","Noun"
"ابدال","Noun"
"ابدالی","Noun"
"ابدي","Adjective"
"ابديت","Noun"
"ابرا","Noun"
"ابرک","Noun"
"ابره ور","Adjective"
"ابرو","Noun"
"ابرومن","Adjective"
"ابشار","Noun"
"ابعاد","Noun"
"ابک","Noun"
"ابل","Adjective"
"ابلاغ","Noun"
"ابلاغول","Verb"
"ابلاغيه","Noun"
"ابلاغېدل","Verb"
"ابلک","Adjective"
"ابلوڅ","Adjective"
"ابليس","Noun"
"ابهام","Noun"
"ابۍ","Noun"
"اپارتمان","Noun"
"اپرېدی","Noun"
"اپرېشن","Noun"
"اپرېل","Noun"
"اپس ډنډه","Noun"
"اپلاتون","Noun"
"اپلتې","Noun"
"اپنډېکس","Noun"
"اپنډېڅيت","Noun"
"اپوټه","Adjective"
"اپي","Noun"
"اپيم","Noun"
"اپين","Noun"
"اپېلل","Verb"
"اتازوني","Noun"
"اتاشه","Noun"
"اتام","Noun"
"اتبار","Noun"
"اتباع","Noun"
"اتحاد","Noun"
"اتحاديه","Noun"
"اترنګ","Noun"
"اتريش","Noun"
"اتش پرست","Adjective"
"اتشبازي","Noun"
"اتشک","Noun"
"اتشکده","Noun"
"اتشګير","Noun"
"اتصال","Noun"
"اتفاق","Noun"
"اتفاقي","Adjective"
"اتکا","Noun"
"اتکړۍ","Noun"
"اتکۍ","Noun"
"اتل","Adjective"
"اتلس","Noun"
"اتلس","Noun"
"اتلس","numerical"
"اتلسم","Adjective"
"اتلوال","Noun"
"اتلواله","Noun"
"اتم","Adjective"
"اتمانخېل","Noun"
"اتمانزی","Noun"
"اتمبار","Noun"
"اتموسفير","Noun"
"اتنوګرافي","Noun"
"اتنيم","numerical"
"اته","numerical"
"اته ويشت","numerical"
"اتهام","Noun"
"اتو","Noun"
"اتوار","Noun"
"اتوب","Noun"
"اتوم","Noun"
"اتومات","Adjective"
"اتوماتيک","Adjective"
"اتومي","Adjective"
"اتي","Noun"
"اتيا","numerical"
"اتياونه","Adverb"
"اتيايم","Adjective"
"اتڅنډ","Adjective"
"اتڼ","Noun"
"اتڼچي","Noun"
