ORIGINAL,TAGGED
"???? ? ??? ?? ?? ??? ???? ???? ??? ???????",????/N ?/PrP ???/N ??/RP ??/V ??/RP ????/N ????/N ???/PrP ??????/V 
? ???? ?? ?? ???? ? ??? ?? ??? ??? ????? ???,?/PrP ????/N ??/RP ??/PoP ????/N ?/PrP ???/N ??/PrP ???/N ???/PoP ?????/ADJ ??/V 
"?? ??? ?? ?? ????? ?? ?????? ??? ?? ?? ????? ?? ?? ??? ???",??/ADV ???/N ??/INT ??/CO ?????/N ??/PoP ??????/ADV ??/INT ??/RP ??/ADJ ?????/N ??/PoP ??/PRN ???/ADV ??/V 
???? ??? ? ??? ? ??? ? ?????? ???? ??????,????/N ???/PrP ?/PrP ???/ADJ ?/PrP ???/N ?/PrP ??????/N ????/N ?????/V 
? ????? ?? ? ????? ??? ??? ????? ??? ???? ????????,?/PrP ?????/N ??/CO ?/PrP ?????/N ???/ADJ ???/ADJ ?????/N ???/ADV ????/N ???????/V 
????? ????? ?? ???? ?? ??? ???????,?????/N ?????/N ??/PoP ????/V ??/CO ???/N ??????/V 
?? ? ???? ??? ??? ???? ??? ???,??/PRN ?/PrP ????/N ???/N ???/PrP ????/N ???/V ??/V 
???? ?????? ??????,????/PRN ??????/N ?????/V 
?? ??? ??? ??? ????,??/PRN ???/ADJ ???/N ???/N ???/V 
???? ???? ???? ???? ????,????/PRN ????/ADJ ????/N ????/V ???/V 
??? ?? ??? ???,???/PRN ??/ADJ ???/V ??/V 
??? ??? ??? ???,???/PRN ???/V ???/V ??/V 
???? ? ???? ?? ?????,????/PRN ?/PrP ????/ADV ??/RP ????/V 
