"ORIGINAL","TAGGED"
"جمال د ګټے خو وو نه، لوږے تندے پرے تېرېدے۔","جمال/N د/PRP ګټے/N خو/RP وو/V نه/RP لوږے/N تندے/N پرے/PRP تېرېدے/V "
"د شکشت نه پس داؤد د اټک په قلا کښی محصور شو۔","د/PRP شکشت/N نه/RP پس/POP داؤد/N د/PRP اټک/N په/PRP قلا/N کښی/POP محصور/ADJ شو/V "
"که خېر وۍ او خدائے ته منظوره وۍ، نو بل اتوار ته مے نېت دے۔","که/ADV خېر/N وۍ/INT او/CO خدائے/N ته/POP منظوره/ADV وۍ/INT نو/RP بل/ADJ اتوار/N ته/POP مے/PRN نېت/ADV دے/V "
"ناوے سره د هلک د کور د زناناؤ ډوډۍ وخوړه۔","ناوے/N سره/PRP د/PRP هلک/N د/PRP کور/N د/PRP زناناؤ/N ډوډۍ/N وخوړه/V "
"د جمامې اؤ د شړشمو زېړ زېړ ګلونه ډېر ښکلي ښکارېدل۔","د/PRP جمامې/N اؤ/CO د/PRP شړشمو/N زېړ/ADJ زېړ/ADJ ګلونه/N ډېر/ADV ښکلي/N ښکارېدل/V "
"استاد شاګرد ته اووې چه غوږ اونيسه۔","استاد/N شاګرد/N ته/POP اووې/V چه/CO غوږ/N اونيسه/V "
"ما د ترور زوی سره مينه کړې ده۔","ما/PRN د/PRP ترور/N زوی/N سره/PRP مينه/N کړې/V ده/V "
"مونږ امتحان ورکړو۔","مونږ/PRN امتحان/N ورکړو/V "
"تا خپل سبق ياد کړو۔","تا/PRN خپل/ADJ سبق/N ياد/N کړو/V "
"تاسو خپله کمره پاکه کړه۔","تاسو/PRN خپله/ADJ کمره/N پاکه/V کړه/V "
"هغه مړ شوے دے۔","هغه/PRN مړ/ADJ شوے/V دے/V "
"هغه مړه شوے ده۔","هغه/PRN مړه/V شوے/V ده/V "
"هغوی د دلته نه لاړل۔","هغوی/PRN د/PRP دلته/ADV نه/RP لاړل/V "
